url,mainBranch,starCount,forkCount,commitCount,branchCount,releaseCount,contributorCount,openIssueCount,closedIssueCount,openPullRequestCount
https://github.com/lisijia0324/TheCucumberBook,master,0,0,3,1,0,0,0,0,0
https://github.com/ragaskar/capybara.js,master,2,0,22,3,0,1,0,0,0
https://github.com/corroded/rainmafia,master,1,0,18,1,0,1,0,0,0
https://github.com/dchapman1988/flipperbaby,master,0,0,5,2,0,0,0,0,0
https://github.com/JunichiIto/jnito,master,0,0,11,1,0,1,0,0,0
https://github.com/Alanine1967/HLOTS-version-3,master,0,0,41,1,0,1,0,0,0
https://github.com/gato-omega/rails_template_g01,master,0,0,2,1,0,-1,0,0,0
https://github.com/romadinov/testapp,master,1,0,1,1,0,1,0,0,0
https://github.com/JunichiIto/mokumoku-sandbox,master,0,0,8,1,0,-1,0,0,0
https://github.com/achao1123/Todo-List,master,1,0,2,1,0,1,0,0,0
https://github.com/rmoriz/piraten6,master,1,2,67,1,0,2,0,0,0
https://github.com/tymenschreuder/tymen_latest_app,master,0,0,9,1,0,1,0,0,0
https://github.com/nadnerb/coffeematrix,master,2,1,15,2,0,2,0,0,0
https://github.com/GeneralScripting/em_game,master,1,0,76,1,0,2,0,1,0
https://github.com/adowning/take8,master,1,0,39,1,0,2,0,0,0
https://github.com/Heavyblade/retirementbutton,master,0,0,74,1,0,2,0,0,0
https://github.com/mathias/geronimo,master,1,0,14,1,0,1,0,0,0
https://github.com/noumanawais/sprints,master,0,0,50,1,0,-1,0,0,0
https://github.com/mlohstroh/capybara-plus,master,0,0,3,2,0,-1,0,0,0
https://github.com/jcf/gravatars,master,0,0,13,1,0,-1,0,0,0
https://github.com/CrossTheStreams/seattle-beer-club,master,4,1,6,1,0,1,0,0,0
https://github.com/bryanstearns/fest,master,1,1,510,2,0,-1,0,1,0
https://github.com/GavinJoyce/rubyjobs2,master,3,5,58,1,0,-1,0,7,0
https://github.com/noumanawais/hanan,master,0,0,9,1,0,-1,0,0,0
https://github.com/skord/pummice,master,2,2,68,1,0,-1,1,3,0
https://github.com/DiUS/zerobot,master,2,3,745,9,534,9,10,14,0
https://github.com/ntvan2104/smart_technology,master,1,0,3,1,0,-1,0,0,0
https://github.com/polysics/carogoverno,develop,2,0,69,4,0,1,0,0,0
https://github.com/farhanmannan/destroyer,master,0,0,56,1,0,1,0,0,0
https://github.com/hannesfostie/filmnudger,master,0,0,35,1,0,1,0,0,0
https://github.com/timtyrrell/bdd_capybara,master,1,0,7,1,0,-1,0,0,0
https://github.com/ready4god2513/pm,master,0,0,107,1,0,3,0,0,0
https://github.com/LuckOfWise/daitokaiet,master,9,3,28,1,0,-1,4,13,0
https://github.com/moeezbilal/sprint1-web,master,0,0,47,1,0,3,0,0,0
https://github.com/KensoDev/project_manage_x,master,0,0,15,2,0,1,0,0,0
https://github.com/SonicGarden/backstarter,master,1,0,21,1,0,-1,0,0,0
https://github.com/lorgio/LinkedList,master,1,0,2,1,0,0,0,0,0
https://github.com/jcblitz/stronger,develop,1,0,37,1,0,-1,0,0,0
https://github.com/ilja/timelords,master,1,0,5,1,0,1,0,0,0
https://github.com/tjmcewan/coffeeprefs,master,2,1,54,1,0,2,1,0,0
https://github.com/boleifu/FreshmanIdol,master,1,0,39,1,0,2,0,0,0
https://github.com/okeen/ardatz,master,1,0,7,1,0,-1,0,0,0
https://github.com/rhdeandrade/europa-manager,master,1,0,44,1,0,1,1,0,0
https://github.com/thejase/shiningstarssf.com,master,0,0,35,1,0,-1,0,0,0
https://github.com/paulfs/BaseAppBootstrap,master,0,0,1,1,0,0,0,0,0
https://github.com/noumanawais/final-proj,master,0,0,59,1,0,-1,0,0,0
https://github.com/zaki/rails_template,master,1,0,7,1,0,-1,0,0,0
https://github.com/zhongqf/zero,master,1,0,11,2,0,1,0,0,0
https://github.com/gato-omega/rails_template_g02,master,0,0,1,1,0,1,0,0,0
https://github.com/lazerwalker/clojurescript-koans,master,47,4,97,3,0,2,3,2,0
https://github.com/Jenyaya/SGStudy,master,0,0,2,1,0,1,0,0,0
https://github.com/deepakprasanna/cucumber_selenium,master,1,0,1,1,0,1,0,0,0
https://github.com/Jenyaya/Omaha,master,1,0,5,1,0,1,0,0,0
https://github.com/osulp/Room-Reservation,develop,1,1,721,8,0,-1,16,182,0
https://github.com/lmars/dredge,master,1,0,14,2,0,1,0,0,0
https://github.com/sobrinho/capybara-celerity,master,2,4,23,1,1,3,4,2,0
https://github.com/clowder/mechwarrior,master,4,1,14,1,3,1,4,0,3
https://github.com/Jenyaya/Z500,master,0,0,1,1,0,1,0,0,0
https://github.com/bbc-frameworks/frameworks-capybara,master,12,10,357,5,107,10,6,10,1
https://github.com/yongpeishi/distributed_cuke,master,0,0,35,1,0,2,0,0,0
https://github.com/enricjaen/SELENIUM2,master,0,0,9,1,0,1,0,0,0
https://github.com/lazerwalker/capybara-touch,master,12,3,75,1,0,-1,1,0,0
https://github.com/sobrinho/capybara-culerity,master,3,0,9,1,1,2,1,1,1
https://github.com/daitokai/daitokaiet,master,10,3,167,5,0,8,8,63,0
https://github.com/derekerdmann/kittens,master,0,0,95,1,0,3,0,0,0
https://github.com/jplethier/todo-list,master,0,0,19,1,0,1,0,0,0
https://github.com/jplethier/total_test,master,0,0,34,1,0,1,0,0,0
https://github.com/shopfinder/chai,master,0,4,194,7,0,5,2,27,2
https://github.com/Jenyaya/traffic,master,0,0,14,1,0,1,0,0,0
https://github.com/joyging/cupygeistom,master,0,0,2,1,0,1,0,0,0
